字	发音	声调	注释
黑	he	7	
篙	hə	1	白读 船~
蒿	hə	1	
薅	hə	1	
亨	hə	1	
好	hə	3	
□	hə	5	吠
耗	hə	5	
□	ɦe	2	~人：谁
谐	ɦe	2	
亥	ɦe	4	
解	ɦe	6	姓氏
毫	ɦə	2	
嗥	ɦə	2	
豪	ɦə	2	
壕	ɦə	2	
嚎	ɦə	2	
濠	ɦə	2	
蠔	ɦə	2	
号	ɦə	2	
暤	ɦə	2	
颢	ɦə	2	
灏	ɦə	2	
昊	ɦə	4	
浩	ɦə	4	
皓	ɦə	4	
暠	ɦə	6	
号	ɦə	6	
哼	heŋ	6	
后	ɦəu	4	惯用音
逅	ɦəu	6	
候	ɦəu	6	~车
哼	hɛ	1	~鸣
□	hɛ	5	惩罚性的掌击，尤其是长辈对晚辈
噷	hɛ	5	
邪	ɦɛ	2	
行	ɦɛ	2	
池	ɦi	2	地名：马鞍~；墨~
驰	ɦi	2	
除	ɦi	2	
荠	ɦi	2	荸~
齐	ɦi	2	
脐	ɦi	2	
畦	ɦi	2	
蛴	ɦi	2	
前	ɦi	2	
潜	ɦi	2	
然	ɦi	2	表转折；用于人名
如	ɦi	2	
茹	ɦi	2	
畲	ɦi	2	
畬	ɦi	2	
佘	ɦi	2	
蛇	ɦi	2	
匙	ɦi	2	
薯	ɦi	2	番~
兮	ɦi	2	
奚	ɦi	2	
贤	ɦi	2	
嫌	ɦi	2	
邪	ɦi	2	
斜	ɦi	2	
携	ɦi	2	
徐	ɦi	2	
言	ɦi	2	白读
炎	ɦi	2	
盐	ɦi	2	
羊	ɦi	2	
疡	ɦi	2	
椰	ɦi	2	
爷	ɦi	2	
耶	ɦi	2	
夷	ɦi	2	
沂	ɦi	2	
诒	ɦi	2	
迤	ɦi	2	
饴	ɦi	2	
怡	ɦi	2	
宜	ɦi	2	便~
姨	ɦi	2	
移	ɦi	2	
颐	ɦi	2	
彝	ɦi	2	
广	ɦi	3	
饵	ɦi	4	
你	ɦi	4	
擩	ɦi	4	
缮	ɦi	4	
膳	ɦi	4	
鳝	ɦi	4	
社	ɦi	4	
氏	ɦi	4	
署	ɦi	4	
巳	ɦi	4	
祀	ɦi	4	
尾	ɦi	4	
限	ɦi	4	
相	ɦi	4	象棋子名
象	ɦi	4	象棋子名
像	ɦi	4	
琰	ɦi	4	
冶	ɦi	4	
已	ɦi	4	
以	ɦi	4	
矣	ɦi	4	
箕	ɦi	6	畚~
剂	ɦi	6	
洎	ɦi	6	
匠	ɦi	6	
善	ɦi	6	
擅	ɦi	6	
赡	ɦi	6	
尚	ɦi	6	
射	ɦi	6	仆~
逝	ɦi	6	
誓	ɦi	6	
噬	ɦi	6	
嗣	ɦi	6	
系	ɦi	6	文读 ~统；~鞋带
现	ɦi	6	
陷	ɦi	6	
械	ɦi	6	
谢	ɦi	6	
榭	ɦi	6	
腌	ɦi	6	
唁	ɦi	6	
焱	ɦi	6	
曳	ɦi	6	
夜	ɦi	6	
异	ɦi	6	
易	ɦi	6	
诣	ɦi	6	
羿	ɦi	6	
肄	ɦi	6	
溢	ɦi	6	
缢	ɦi	6	
燚	ɦi	6	
懿	ɦi	6	
又	ɦi	6	白读
蝎	ɦi	7	
偈	ɦi	8	
寂	ɦi	8	
捷	ɦi	8	
睫	ɦi	8	
舌	ɦi	8	
设	ɦi	8	
射	ɦi	8	文读
涉	ɦi	8	
石	ɦi	8	
食	ɦi	8	
蚀	ɦi	8	
树	ɦi	8	连读音，桃~塆(偶发)
夕	ɦi	8	
汐	ɦi	8	
席	ɦi	8	
侠	ɦi	8	
协	ɦi	8	
挟	ɦi	8	
掖	ɦi	8	
叶	ɦi	8	
液	ɦi	8	
腋	ɦi	8	
译	ɦi	8	
怿	ɦi	8	
埸	ɦi	8	
蜴	ɦi	8	
嚼	ɦia	2	
斜	ɦia	2	
鸢	ɦia	2	
若	ɦia	8	
偌	ɦia	8	
弱	ɦia	8	
药	ɦia	8	
钥	ɦia	8	
跃	ɦia	8	
汋	ɦia	8	
灂	ɦia	8	
弋	ɦiai	8	
亦	ɦiai	8	
佚	ɦiai	8	
译	ɦiai	8	
轶	ɦiai	8	
弈	ɦiai	8	
奕	ɦiai	8	
逸	ɦiai	8	
翊	ɦiai	8	
翌	ɦiai	8	
翼	ɦiai	8	
覃	ɦiaŋ	2	
刑	ɦiaŋ	2	
邢	ɦiaŋ	2	
形	ɦiaŋ	2	
型	ɦiaŋ	2	
淫	ɦiaŋ	2	
寅	ɦiaŋ	2	
霪	ɦiaŋ	2	
螾	ɦiaŋ	2	
荧	ɦiaŋ	2	
盈	ɦiaŋ	2	
莹	ɦiaŋ	2	
萤	ɦiaŋ	2	
萦	ɦiaŋ	2	
蝇	ɦiaŋ	2	
嬴	ɦiaŋ	2	
赢	ɦiaŋ	2	
引	ɦiaŋ	4	
蚓	ɦiaŋ	4	
郢	ɦiaŋ	4	
颍	ɦiaŋ	4	
颖	ɦiaŋ	4	
胤	ɦiaŋ	6	
孕	ɦiaŋ	6	
酋	ɦiau	2	
尤	ɦiau	2	
由	ɦiau	2	
邮	ɦiau	2	
油	ɦiau	2	
疣	ɦiau	2	
铀	ɦiau	2	
蚰	ɦiau	2	~蠓：青蟹
鱿	ɦiau	2	
游	ɦiau	2	
猷	ɦiau	2	
蝣	ɦiau	2	
友	ɦiau	4	
有	ɦiau	4	
酉	ɦiau	4	
莠	ɦiau	4	
铕	ɦiau	4	
右	ɦiau	4	
诱	ɦiau	4	
又	ɦiau	6	
佑	ɦiau	6	
侑	ɦiau	6	
囿	ɦiau	6	
宥	ɦiau	6	
釉	ɦiau	6	
鼬	ɦiau	6	
婵	ɦie	2	
禅	ɦie	2	
蝉	ɦie	2	
蟾	ɦie	2	
单	ɦie	2	姓氏
渐	ɦie	2	
铅	ɦie	2	
前	ɦie	2	
然	ɦie	2	
燃	ɦie	2	
涎	ɦie	2	
延	ɦie	2	
沿	ɦie	2	
阎	ɦie	2	
筵	ɦie	2	
檐	ɦie	2	
践	ɦie	4	
冉	ɦie	4	
苒	ɦie	4	
蚬	ɦie	4	
衍	ɦie	4	
贱	ɦie	6	
现	ɦie	6	
羡	ɦie	6	
砚	ɦie	6	
焰	ɦie	6	
截	ɦie	8	
徜	ɦiə	2	
饶	ɦiə	2	
娆	ɦiə	2	
桡	ɦiə	2	
陶	ɦiə	2	皋~
姚	ɦiə	2	
窑	ɦiə	2	
谣	ɦiə	2	
徭	ɦiə	2	
遥	ɦiə	2	
媱	ɦiə	2	
瑶	ɦiə	2	
榣	ɦiə	2	
繇	ɦiə	2	
繇	ɦiə	2	
扰	ɦiə	4	
䁘	ɦiə	4	
绕	ɦiə	6	
邵	ɦiə	6	
劭	ɦiə	6	
绍	ɦiə	6	
耀	ɦiə	6	
召	ɦiə	6	
药	ɦiə	8	白读
成	ɦieŋ	2	
诚	ɦieŋ	2	
承	ɦieŋ	2	
城	ɦieŋ	2	
乘	ɦieŋ	2	
情	ɦieŋ	2	
晴	ɦieŋ	2	
绳	ɦieŋ	2	
静	ɦieŋ	4	
乘	ɦieŋ	6	
盛	ɦieŋ	6	
泅	ɦiəu	2	
遒	ɦiəu	2	
柔	ɦiəu	2	
揉	ɦiəu	2	
糅	ɦiəu	2	
蹂	ɦiəu	2	
鞣	ɦiəu	2	
就	ɦiəu	4	
寿	ɦiəu	4	
受	ɦiəu	4	
授	ɦiəu	4	
右	ɦiəu	4	
孰	ɦiəu	7	
塾	ɦiəu	7	
熟	ɦiəu	7	
鹫	ɦiəu	8	
尝	ɦiɛ	2	
常	ɦiɛ	2	
戕	ɦiɛ	2	
墙	ɦiɛ	2	
蔷	ɦiɛ	2	
嫱	ɦiɛ	2	
裳	ɦiɛ	2	
祥	ɦiɛ	2	
翔	ɦiɛ	2	
行	ɦiɛ	2	自~车(少见)
扬	ɦiɛ	2	
羊	ɦiɛ	2	
阳	ɦiɛ	2	
杨	ɦiɛ	2	
炀	ɦiɛ	2	
佯	ɦiɛ	2	
疡	ɦiɛ	2	
垟	ɦiɛ	2	
徉	ɦiɛ	2	
洋	ɦiɛ	2	~□fai31：马铃薯
瓤	ɦiɛ	4	
壤	ɦiɛ	4	
上	ɦiɛ	4	
象	ɦiɛ	4	
橡	ɦiɛ	4	
仰	ɦiɛ	4	~卧起坐
痒	ɦiɛ	4	
偿	ɦiɛ	6	
上	ɦiɛ	6	
邂	ɦiɛ	6	
养	ɦiɛ	6	
样	ɦiɛ	6	
恙	ɦiɛ	6	
懈	ɦiɛ	8	
崇	ɦioŋ	2	
纯	ɦioŋ	2	
淳	ɦioŋ	2	
鹑	ɦioŋ	2	
醇	ɦioŋ	2	
戎	ɦioŋ	2	
茸	ɦioŋ	2	
荣	ɦioŋ	2	
绒	ɦioŋ	2	
蓉	ɦioŋ	2	
溶	ɦioŋ	2	
榕	ɦioŋ	2	
融	ɦioŋ	2	
雄	ɦioŋ	2	
熊	ɦioŋ	2	
旬	ɦioŋ	2	
巡	ɦioŋ	2	
循	ɦioŋ	2	
驯	ɦioŋ	2	
徇	ɦioŋ	2	
殉	ɦioŋ	2	
庸	ɦioŋ	2	
墉	ɦioŋ	2	
慵	ɦioŋ	2	
镛	ɦioŋ	2	
鳙	ɦioŋ	2	
云	ɦioŋ	2	
匀	ɦioŋ	2	
芸	ɦioŋ	2	
吮	ɦioŋ	4	
永	ɦioŋ	4	
咏	ɦioŋ	4	
泳	ɦioŋ	4	
陨	ɦioŋ	4	
熨	ɦioŋ	5	
闰	ɦioŋ	6	
润	ɦioŋ	6	
顺	ɦioŋ	6	
晕	ɦioŋ	6	
孕	ɦioŋ	6	
运	ɦioŋ	6	
韵	ɦioŋ	6	
方	ho	1	
花	ho	1	
豁	ho	1	
虾	ho	1	
□	ho	3	~落
化	ho	5	
发	ho	7	
法	ho	7	
豁	ho	7	
霍	ho	7	
藿	ho	7	
蚶	hø	1	
酣	hø	1	
憨	hø	1	~屄：糊涂蛋
鼾	hø	1	
汉	hø	1	
蒿	hø	1	白读 ~草
欢	hø	1	
挥	hø	1	
晖	hø	1	
辉	hø	1	
徽	hø	1	
昏	hø	1	黄~：晚上，可泛指整个下半日
荤	hø	1	
婚	hø	1	
罕	hø	3	
烜	hø	3	
讳	hø	5	
纬	hø	5	
喝	hø	7	
笏	hø	7	
荷	ɦo	2	
哗	ɦo	2	
华	ɦo	2	~夏
骅	ɦo	2	
划	ɦo	2	~船
虾	ɦo	2	
遐	ɦo	2	
瑕	ɦo	2	
暇	ɦo	2	
霞	ɦo	2	
厦	ɦo	4	地名：~门
下	ɦo	4	
夏	ɦo	4	
贺	ɦo	6	
华	ɦo	6	~山
画	ɦo	6	
话	ɦo	6	
桦	ɦo	6	
嬅	ɦo	6	
或	ɦo	6	
厦	ɦo	6	
涸	ɦo	8	
鹤	ɦo	8	
猾	ɦo	8	
滑	ɦo	8	
活	ɦo	8	
获	ɦo	8	
学	ɦo	8	
韩	ɦø	2	
寒	ɦø	2	
颔	ɦø	2	~首
撼	ɦø	3	
旱	ɦø	4	
岸	ɦø	6	
害	ɦø	6	
汗	ɦø	6	
捍	ɦø	6	
悍	ɦø	6	
劾	ɦø	8	
盍	ɦø	8	
风	hoŋ	1	打大~：刮大风
吽	hoŋ	1	
轰	hoŋ	1	~炸
烘	hoŋ	1	
薨	hoŋ	1	
蕻	hoŋ	1	
哄	hoŋ	3	
□	hoŋ	5	~臭：非常臭
嗅	hoŋ	5	白读
弘	ɦoŋ	2	
红	ɦoŋ	2	
红	ɦoŋ	2	
宏	ɦoŋ	2	
纮	ɦoŋ	2	
泓	ɦoŋ	2	
洪	ɦoŋ	2	
鸿	ɦoŋ	2	
□	ɦoŋ	6	发霉变质
肤	hu	1	
呼	hu	1	
浒	hu	3	
火	hu	3	着~
伙	hu	3	
货	hu	5	
灰	huai	1	
诙	huai	1	
辉	huai	1	用于人名
麾	huai	1	
悔	huai	3	
毁	huai	3	
洧	huai	3	
诲	huai	5	
贿	huai	5	
晦	huai	5	
秽	huai	5	
喙	huai	5	
昏	huaŋ	1	白读 ~君：糊涂
婚	huaŋ	1	白读 ~庆
欢	huə	1	
轰	huɛ	1	白读 ~烈
挥	hy	1	
除	ɦy	2	
雏	ɦy	2	
垂	ɦy	2	
含	ɦy	2	
韩	ɦy	2	
莟	ɦy	2	
禾	ɦy	2	
何	ɦy	2	姓氏
𬌗	ɦy	2	牙齿开合正常
乎	ɦy	2	
魂	ɦy	2	
绝	ɦy	2	~对
龋	ɦy	2	
权	ɦy	2	
全	ɦy	2	
拳	ɦy	2	
如	ɦy	2	
茹	ɦy	2	
儒	ɦy	2	
孺	ɦy	2	
姝	ɦy	2	
殊	ɦy	2	
竖	ɦy	2	
隋	ɦy	2	
随	ɦy	2	
遂	ɦy	2	
丸	ɦy	2	
完	ɦy	2	
危	ɦy	2	
韦	ɦy	2	
违	ɦy	2	
围	ɦy	2	
帏	ɦy	2	
闱	ɦy	2	
帷	ɦy	2	
维	ɦy	2	
潍	ɦy	2	
苇	ɦy	2	
弦	ɦy	2	
舷	ɦy	2	
徐	ɦy	2	姓氏
玄	ɦy	2	
遗	ɦy	2	
于	ɦy	2	
余	ɦy	2	
妤	ɦy	2	
臾	ɦy	2	
俞	ɦy	2	
馀	ɦy	2	
谀	ɦy	2	
萸	ɦy	2	
逾	ɦy	2	
愉	ɦy	2	
瑜	ɦy	2	
榆	ɦy	2	
觎	ɦy	2	
予	ɦy	2	
缘	ɦy	2	
蕊	ɦy	3	
项	ɦy	3	
莞	ɦy	4	
户	ɦy	4	姓氏
聚	ɦy	4	
署	ɦy	4	
曙	ɦy	4	
墅	ɦy	4	
伟	ɦy	4	
玮	ɦy	4	
武	ɦy	4	
侮	ɦy	4	
序	ɦy	4	
绪	ɦy	4	
泫	ɦy	4	
与	ɦy	4	
屿	ɦy	4	地名：双~
宇	ɦy	4	
羽	ɦy	4	
雨	ɦy	4	
禹	ɦy	4	
庾	ɦy	4	
瑀	ɦy	4	
愈	ɦy	4	
誉	ɦy	5	
互	ɦy	6	
幻	ɦy	6	
汇	ɦy	6	
惠	ɦy	6	
慧	ɦy	6	文读
券	ɦy	6	拱~
瑞	ɦy	6	
隧	ɦy	6	
穗	ɦy	6	
伪	ɦy	6	
卫	ɦy	6	
为	ɦy	6	
位	ɦy	6	
胃	ɦy	6	
谓	ɦy	6	
渭	ɦy	6	
吁	ɦy	6	语气词，嘲讽意味
炫	ɦy	6	
眩	ɦy	6	
雨	ɦy	6	
芋	ɦy	6	
聿	ɦy	6	
预	ɦy	6	
谕	ɦy	6	
喻	ɦy	6	
裕	ɦy	6	
合	ɦy	7	
阖	ɦy	8	
树	ɦy	8	惯用音
床	ɦyɔ	2	
从	ɦyɔ	2	
熔	ɦyɔ	2	
松	ɦyɔ	2	白读 ~树
王	ɦyɔ	2	
往	ɦyɔ	4	
勇	ɦyɔ	4	
蛹	ɦyɔ	4	
讼	ɦyɔ	6	
诵	ɦyɔ	6	
颂	ɦyɔ	6	
用	ɦyɔ	6	
状	ɦyɔ	6	
硕	ɦyɔ	8	
楦	hye	1	
援	ɦye	2	
媛	ɦye	2	
谷	ɦyo	7	吐~浑
局	ɦyo	8	
属	ɦyo	8	
俗	ɦyo	8	
浴	ɦyo	8	
欲	ɦyo	8	
浞	ɦyo	8	
传	ɦyø	2	白读 ~授
船	ɦyø	2	
浑	ɦyø	2	
镌	ɦyø	2	
绝	ɦyø	2	
全	ɦyø	2	
泉	ɦyø	2	
痊	ɦyø	2	
完	ɦyø	2	
携	ɦyø	2	
悬	ɦyø	2	
旋	ɦyø	2	
嫙	ɦyø	2	
园	ɦyø	2	
员	ɦyø	2	
袁	ɦyø	2	
圆	ɦyø	2	
猿	ɦyø	2	
远	ɦyø	4	
县	ɦyø	6	
璇	ɦyø	6	
院	ɦyø	6	
曰	ɦyø	8	
袆	i	1	
伊	i	1	
衣	i	1	
医	i	1	
依	i	1	
铱	i	1	
猗	i	1	
漪	i	1	
噫	i	1	
踦	i	1	
鷖	i	1	
掎	i	3	
野	i	3	
倚	i	3	
椅	i	3	
旖	i	3	
亿	i	5	
忆	i	5	
裔	i	5	
意	i	5	
熠	i	5	
薏	i	5	
翳	i	5	
晔	i	7	
烨	i	7	
一	i	7	白读 ~个；~色：一样
抑	i	7	~制
勺	ia	7	
约	ia	7	
一	iai	7	文读 ~二三；长天~色
揖	iai	7	
壹	iai	7	
乙	iai	7	
钇	iai	7	
抑	iai	7	
邑	iai	7	
挹	iai	7	
益	iai	7	
浥	iai	7	
悒	iai	7	
溢	iai	7	
镒	iai	7	
因	iaŋ	1	
阴	iaŋ	1	
茵	iaŋ	1	
音	iaŋ	1	
姻	iaŋ	1	
殷	iaŋ	1	
应	iaŋ	1	
英	iaŋ	1	
莺	iaŋ	1	
婴	iaŋ	1	
瑛	iaŋ	1	
罂	iaŋ	1	
缨	iaŋ	1	
璎	iaŋ	1	
樱	iaŋ	1	
膺	iaŋ	1	
鹰	iaŋ	1	
饮	iaŋ	3	
隐	iaŋ	3	
影	iaŋ	3	
窨	iaŋ	5	
荫	iaŋ	5	~雨：躲雨
印	iaŋ	5	
应	iaŋ	5	
映	iaŋ	5	
硬	iaŋ	5	白读 颓~：做事不脚踏实地爱吹牛
优	iau	1	
攸	iau	1	
忧	iau	1	
呦	iau	1	
幽	iau	1	
悠	iau	1	
黝	iau	3	
幼	iau	5	
嗟	ie	1	
蔫	ie	1	
胭	ie	1	
烟	ie	1	
阉	ie	1	
淹	ie	1	
湮	ie	1	
嫣	ie	1	
咽	ie	1	~喉
燕	ie	1	
耶	ie	1	~酥
奄	ie	3	
掩	ie	3	
堰	ie	3	
淹	ie	5	
咽	ie	5	哽~
燕	ie	5	
幺	iə	1	
夭	iə	1	
妖	iə	1	
祅	iə	1	
腰	iə	1	
邀	iə	1	
杳	iə	3	
舀	iə	3	
要	iə	5	
哟	iə	5	
一	iə	7	白读 ~个
郁	iəu	7	
育	iəu	7	
昱	iəu	7	
彧	iəu	7	
煜	iəu	7	
毓	iəu	7	
央	iɛ	1	
殃	iɛ	1	
鸯	iɛ	1	
秧	iɛ	1	
殷	iɛ	1	
养	iɛ	3	
怏	iɛ	5	
雍	ioŋ	1	
㙲	ioŋ	1	浮尘
晕	ioŋ	1	
蕴	ioŋ	2	
尹	ioŋ	3	
允	ioŋ	3	
□	ka	1	痼~：顽渍，尤指黏在某处抠不下来的固态坚硬脏东西，如发黑的口香糖、沾污的痤疮
伽	ka	1	~尸
乖	ka	1	
关	ka	1	
獾	ka	1	
迦	ka	1	
奸	ka	1	
间	ka	1	
肩	ka	1	白读
艰	ka	1	
监	ka	1	~牢
缄	ka	1	
煎	ka	1	白读
豇	ka	1	
蛟	ka	1	地名：~翔巷
阶	ka	1	
皆	ka	1	
街	ka	1	
纶	ka	1	
偕	ka	1	
拐	ka	3	
柺	ka	3	
减	ka	3	
剪	ka	3	白读 本字为“铰”
简	ka	3	
碱	ka	3	
饺	ka	3	
铰	ka	3	~刀：剪刀
皎	ka	3	
解	ka	3	
□	ka	5	~钿：价格
卦	ka	5	~象
挂	ka	5	白读
怪	ka	5	
惯	ka	5	
价	ka	5	白读 ~钿：价格
间	ka	5	
监	ka	5	~生
涧	ka	5	
戒	ka	5	
界	ka	5	
诫	ka	5	
革	ka	7	
格	ka	7	
隔	ka	7	
骼	ka	7	
刮	ka	7	
夹	ka	7	
荚	ka	7	
戛	ka	7	
颊	ka	7	
甲	ka	7	
角	ka	7	白读 麦~儿：一种本地馅饼，形状类似大饺子
峡	ka	7	
归	kai	1	
圭	kai	1	地名：巴拉~
规	kai	1	
瑰	kai	1	
轨	kai	3	
个	kai	5	
刽	kai	5	
桂	kai	5	
桧	kai	5	
会	kai	5	~计
荟	kai	5	
绘	kai	5	
侩	kai	5	
脍	kai	5	
掴	kai	7	
蝈	kai	7	
国	kai	7	
帼	kai	7	
根	kaŋ	1	白读
跟	kaŋ	1	
耿	kaŋ	3	
哽	kaŋ	3	
管	kaŋ	3	白读
艮	kaŋ	5	白读 山行~
更	kaŋ	5	~加
勾	kau	1	~引
沟	kau	1	
钩	kau	1	
篝	kau	1	
句	kau	1	高~丽
苟	kau	3	
狗	kau	3	
枸	kau	3	~杞
垢	kau	3	
勾	kau	5	~当
构	kau	5	
购	kau	5	
诟	kau	5	
姤	kau	5	
够	kau	5	
彀	kau	5	
媾	kau	5	
彀	kau	7	近指代词，“居屋”合音
冈	kɔ	1	
刚	kɔ	1	
肛	kɔ	1	
纲	kɔ	1	
钢	kɔ	1	
缸	kɔ	1	
光	kɔ	1	
咣	kɔ	1	
胱	kɔ	1	
江	kɔ	1	
茳	kɔ	1	
姜	kɔ	1	姓氏
交	kɔ	1	
郊	kɔ	1	
茭	kɔ	1	
胶	kɔ	1	
跤	kɔ	1	
鲛	kɔ	1	
教	kɔ	1	
扛	kɔ	1	
岗	kɔ	3	
港	kɔ	3	
广	kɔ	3	
讲	kɔ	3	
奖	kɔ	3	
姣	kɔ	3	
佼	kɔ	3	
狡	kɔ	3	
绞	kɔ	3	
铰	kɔ	3	~钳
皎	kɔ	3	
搅	kɔ	3	
肴	kɔ	3	~配：配菜
杠	kɔ	5	
洸	kɔ	5	
绛	kɔ	5	
较	kɔ	5	
教	kɔ	5	
窖	kɔ	5	
酵	kɔ	5	
校	kɔ	5	
觉	kɔ	7	
该	ke	1	
赅	ke	1	
几	ke	1	白读 ~俫：多少
居	ke	1	近指代词
改	ke	3	
几	ke	3	白读 ~个
盖	ke	5	
溉	ke	5	
概	ke	5	
丐	ke	7	
钙	ke	7	
皋	kə	1	
高	kə	1	
羔	kə	1	
槔	kə	1	
膏	kə	1	
篙	kə	1	
糕	kə	1	
杲	kə	3	
搞	kə	3	
槀	kə	3	
镐	kə	3	
稿	kə	3	
槁	kə	5	
告	kə	5	
郜	kə	5	
诰	kə	5	
锆	kə	5	
更	kə	5	~加
梏	kə	5	
诟	kəu	3	
垢	kəu	3	
骹	kʰa	1	
看	kʰa	1	~守所
夸	kʰa	1	~奖
宽	kʰa	1	
楷	kʰa	3	
可	kʰa	3	老派音
垮	kʰa	3	
客	kʰa	5	
块	kʰa	5	
快	kʰa	5	
哙	kʰa	5	
匄	kʰa	7	给
磕	kʰa	7	白读 ~头
阔	kʰa	7	白读 ~绰
掐	kʰa	7	
恰	kʰa	7	
恢	kʰai	1	
亏	kʰai	1	
岿	kʰai	1	
悝	kʰai	1	
盔	kʰai	1	
窥	kʰai	1	
喹	kʰai	1	
魁	kʰai	1	
睽	kʰai	1	
奎	kʰai	3	
喟	kʰai	5	
愧	kʰai	5	
搕	kʰai	7	
肯	kʰaŋ	3	
垦	kʰaŋ	3	
□	kʰau	1	禁锢
抠	kʰau	1	
抠	kʰau	1	
眍	kʰau	1	
口	kʰau	3	
叩	kʰau	5	
扣	kʰau	5	
寇	kʰau	5	
蔻	kʰau	5	
康	kʰɔ	1	
慷	kʰɔ	1	
糠	kʰɔ	1	
吭	kʰɔ	1	~声
腔	kʰɔ	1	白读 空~
硗	kʰɔ	1	
敲	kʰɔ	1	
忼	kʰɔ	3	
邝	kʰɔ	3	
巧	kʰɔ	3	
亢	kʰɔ	5	
伉	kʰɔ	5	表并列
囥	kʰɔ	5	放置
炕	kʰɔ	5	
钪	kʰɔ	5	
圹	kʰɔ	5	
旷	kʰɔ	5	
矿	kʰɔ	5	
扩	kʰɔ	7	
扩	kʰɔ	7	
开	kʰe	1	
凯	kʰe	3	
铠	kʰe	3	
恺	kʰe	5	
慨	kʰe	5	
克	kʰe	7	
刻	kʰe	7	
尻	kʰə	1	
尻	kʰə	1	
熇	kʰə	3	
考	kʰə	3	
栲	kʰə	3	
烤	kʰə	3	
拷	kʰə	5	
铐	kʰə	5	
靠	kʰə	5	
㸆	kʰə	5	
揩	kʰɛ	1	
嵌	kʰɛ	5	
开	kʰɪ	1	
去	kʰɪ	5	白读
珂	kʰo	1	
柯	kʰo	1	
钶	kʰo	1	
夸	kʰo	1	
宽	kʰo	1	白读 ~带
可	kʰo	3	
坷	kʰo	3	
砢	kʰo	3	
□	kʰo	5	稳稳拿住
苛	kʰo	5	
胯	kʰo	5	
跨	kʰo	5	
阔	kʰo	7	广~
廓	kʰo	7	
确	kʰo	7	
勘	kʰø	1	
龛	kʰø	1	
科	kʰø	1	~室
昆	kʰø	1	
侃	kʰø	3	
看	kʰø	5	~牛(不常用)
咳	kʰø	7	~嗽
嗑	kʰø	7	
磕	kʰø	7	文读 ~碰
渴	kʰø	7	
空	kʰoŋ	1	
悾	kʰoŋ	1	
硿	kʰoŋ	1	
箜	kʰoŋ	1	
孔	kʰoŋ	3	
空	kʰoŋ	5	
崆	kʰoŋ	5	
控	kʰoŋ	5	
啌	kʰoŋ	5	
□	kʰu	1	~□tɕʰi33：调侃他人擤涕失败
踝	kʰu	1	
轲	kʰu	1	
科	kʰu	1	
棵	kʰu	1	
稞	kʰu	1	
窠	kʰu	1	
颗	kʰu	1	
蝌	kʰu	1	
刳	kʰu	1	
枯	kʰu	1	
骷	kʰu	1	
□	kʰu	3	~喘：呼吸困难伴响亮异常呼吸音，一般指急性哮喘发作
苦	kʰu	3	
课	kʰu	5	
库	kʰu	5	
绔	kʰu	5	
绔	kʰu	5	
裤	kʰu	5	
哭	kʰu	7	
喾	kʰu	7	
酷	kʰu	7	
坤	kʰuaŋ	1	
堃	kʰuaŋ	1	
捆	kʰuaŋ	3	
困	kʰuaŋ	5	白读 ~难
墈	kʰy	1	阶梯
犬	kʰye	3	
畎	kʰye	3	
券	kʰye	5	
曲	kʰyo	7	
区	kʰyø	1	市~
圈	kʰyø	1	
困	kʰyø	5	
劝	kʰyø	5	~勉
窟	kʰyø	7	
曲	kʰyø	7	~折
屈	kʰyø	7	
缺	kʰyø	7	
阙	kʰyø	7	
阕	kʰyø	7	
季	kɪ	5	
伽	ko	1	
哥	ko	1	
搁	ko	1	
歌	ko	1	
呱	ko	1	
瓜	ko	1	
郭	ko	1	
花	ko	1	白读 落~生：花生
加	ko	1	
佳	ko	1	
迦	ko	1	
枷	ko	1	~锁
痂	ko	1	
家	ko	1	
袈	ko	1	
嘉	ko	1	
稼	ko	1	
贾	ko	3	
假	ko	3	
盖	ko	5	姓氏
卦	ko	5	~爻
挂	ko	5	
褂	ko	5	
假	ko	5	
价	ko	5	
架	ko	5	
嫁	ko	5	
稼	ko	5	
阁	ko	7	
各	ko	7	
角	ko	7	
觉	ko	7	
括	ko	7	
廓	ko	7	
甘	kø	1	
干	kø	1	菜咸~：梅干菜
割	kø	1	
根	kø	1	
官	kø	1	
冠	kø	1	~冕
龟	kø	1	
据	kø	1	拮~
敢	kø	3	
感	kø	3	
橄	kø	3	
梗	kø	3	
鬼	kø	3	文读 魔~
晷	kø	3	
跬	kø	3	
干	kø	5	~部
艮	kø	5	文读 儒~
观	kø	5	
贯	kø	5	
罐	kø	5	
贵	kø	5	
葛	kø	7	
蛤	kø	7	文读 ~蜊
合	kø	7	白读
工	koŋ	1	
公	koŋ	1	
功	koŋ	1	
攻	koŋ	1	
恭	koŋ	1	~喜
蚣	koŋ	1	
龚	koŋ	1	
巩	koŋ	3	
拱	koŋ	3	~桥；~券
赣	koŋ	5	
戆	koŋ	5	~头~脑：头脑简单
供	koŋ	5	~奉
贡	koŋ	5	
戈	ku	1	
咕	ku	1	
沽	ku	1	
姑	ku	1	
轱	ku	1	
蛄	ku	1	
辜	ku	1	
酤	ku	1	
箍	ku	1	
埚	ku	1	
锅	ku	1	
挝	ku	1	敲打
蜗	ku	1	
舸	ku	3	
估	ku	3	
古	ku	3	
诂	ku	3	
股	ku	3	
牯	ku	3	
罟	ku	3	
蛊	ku	3	
鼓	ku	3	
瞽	ku	3	
果	ku	3	
裹	ku	3	
贾	ku	3	
固	ku	5	
故	ku	5	
